variable,label,value
reason_for_dispatch3,9,9
reason_for_dispatch3,17,17
reason_for_dispatch3,8,8
reason_for_dispatch3,18,18
reason_for_dispatch3,null,""""""
reason_for_dispatch3,14,14
reason_for_dispatch3,2,2
reason_for_dispatch3,11,11
reason_for_dispatch3,3,3
reason_for_dispatch3,6,6
reason_for_dispatch3,16,16
reason_for_dispatch3,5,5
reason_for_dispatch4,"""""",""""""
reason_for_dispatch4,17,17
reason_for_dispatch4,8,8
reason_for_dispatch4,9,9
reason_for_dispatch4,12,12
reason_for_dispatch4,15,15
reason_for_dispatch4,7,7
reason_for_dispatch4,3,3
reason_for_dispatch4,null,""""""
reason_for_dispatch4,n,""""""
reason_for_dispatch4,y,""""""
reason_for_dispatch4,14,14
reason_for_dispatch4,16,16
reason_for_dispatch4,1,1
reason_for_dispatch4,2,2
reason_for_dispatch4,19,19
reason_for_dispatch4,6,6
reason_for_dispatch4,11,11
reason_for_dispatch5,"""""",""""""
reason_for_dispatch5,17,17
reason_for_dispatch5,12,12
reason_for_dispatch5,15,15
reason_for_dispatch5,null,""""""
reason_for_dispatch5,english,""""""
reason_for_dispatch5,spanish,""""""
reason_for_dispatch5,14,14
reason_for_dispatch5,13,13
reason_for_dispatch5,16,16
reason_for_dispatch5,6,6
abuse_reported,0,0
abuse_reported,1,1
abuse_reported,"""""",""""""
abuse_reported,null,""""""
abuse_reported,information currently not being collected,""""""
ems_scene,2,2
ems_scene,1,1
ems_scene,"""""",""""""
ems_scene,null,""""""
le_scene,2,2
le_scene,1,1
le_scene,"""""",""""""
le_scene,n,""""""
le_scene,y,""""""
le_scene,6,""""""
le_scene,3,""""""
le_scene,5,""""""
le_scene,null,""""""
le_scene,7,""""""
le_scene,4,""""""
client_language,english,English
client_language,unknown,unknown
client_language,other,other
client_language,"""""",""""""
client_language,null,""""""
client_language,korean or english,korean or english
client_language,spanish,spanish
client_language,engish,English
client_language,englsih,English
language_need_met,3,3
language_need_met,2,2
language_need_met,1,1
language_need_met,"""""",""""""
language_need_met,null,""""""
custody,3,3
custody,2,2
custody,4,4
custody,1,1
custody,"""""",""""""
custody,null,""""""
custody,Hospital Hold,4
disposition,1,1
disposition,2,2
disposition,3,3
disposition,5,5
disposition,4,4
disposition,7,7
disposition,6,6
disposition,"""""",""""""
disposition,null,""""""
disposition,legacy mt. hood,""""""
disposition,ohsu,""""""
disposition,portland adventist,""""""
disposition,portland providence,""""""
disposition,unity center for behavioral health,4
disposition,legacy good samaritan,""""""
disposition,legacy emanuel,""""""
disposition,veterans administration,""""""
disposition,providence milwaukie,""""""
disposition,jail,2
disposition,providence st. vincent,""""""
disposition,referred to acute care,7
disposition,returned to community,1
disposition,remained at emergency department,3
disposition,sent to emergency department,3
disposition,remained in jail,7
disposition,diverted from emergency department (ed),7
disposition,crisis respite,6
disposition,arrested,2
disposition,remained in community-emergency department diversion,1
services_72hour,no,8
services_72hour,2,2
services_72hour,1,1
services_72hour,7,7
services_72hour,3,3
services_72hour,6,6
services_72hour,4,4
services_72hour,5,5
services_72hour,n/a: follow up declined/no engagement,5
services_72hour,n/a: no follow up needed,4
services_72hour,n/a: hand off to another provider/system,3
services_72hour,"""""",""""""
services_72hour,No,8
services_72hour,null,""""""
ref_stabilization_services,"""""",""""""
ref_stabilization_services,2,2
ref_stabilization_services,1,1
ref_stabilization_services,information currently not being collected,""""""
ref_stabilization_services,null,""""""
enr_stabilization_services,"""""",""""""
enr_stabilization_services,2,2
enr_stabilization_services,null,""""""
enr_stabilization_services,1,1
enr_stabilization_services,3,3
dispatch_zip,scappoose (97056),97056
dispatch_zip,saint helens (97051),97051
dispatch_zip,rainier (97048),97048
dispatch_zip,deer island (97054),97054
