variable_name,value,label,type
race_ethnicity2,23,Other African (Black),factor
race_ethnicity2,24,Other Black,factor
race_ethnicity2,25,Middle Eastern,factor
race_ethnicity2,26,North African,factor
race_ethnicity2,27,Asian Indian,factor
race_ethnicity2,28,Cambodian,factor
race_ethnicity2,29,Chinese,factor
race_ethnicity2,30,Communities of Myanmar,factor
race_ethnicity2,31,Filipino/a,factor
race_ethnicity2,32,Hmong,factor
race_ethnicity2,33,Japanese,factor
race_ethnicity2,34,Korean,factor
race_ethnicity2,35,Laotian,factor
race_ethnicity2,36,South Asian,factor
race_ethnicity2,37,Vietnamese,factor
race_ethnicity2,38,Other Asian,factor
race_ethnicity2,39,Other,factor
race_ethnicity2,40,Client Unable to Answer,factor
race_ethnicity2,41,Client Declined to Answer,factor
race_ethnicity2,42,Did Not Ask,factor
race_ethnicity3,1,Central American,factor
race_ethnicity3,2,Mexican,factor
race_ethnicity3,3,South American,factor
race_ethnicity3,4,Other Hispanic or Latino/a/x,factor
race_ethnicity3,5,Chamoru (Chamorro),factor
race_ethnicity3,6,Marshalles,factor
race_ethnicity3,7,Communities of the Micronesian Regions,factor
race_ethnicity3,8,Native Hawaiian,factor
race_ethnicity3,9,Samoan,factor
race_ethnicity3,10,Other Pacific Islander,factor
race_ethnicity3,11,Eastern European,factor
race_ethnicity3,12,Slavic,factor
race_ethnicity3,13,Western European,factor
race_ethnicity3,14,Other White,factor
race_ethnicity3,15,American Indian,factor
race_ethnicity3,16,Alaska Native,factor
race_ethnicity3,17,"Candian Inuit, Metis or First Nation",factor
race_ethnicity3,18,"Indigenous Mexican, Central Americand or South American",factor
race_ethnicity3,19,African American,factor
race_ethnicity3,20,Afro-Carribean,factor
race_ethnicity3,21,Ethiopian,factor
race_ethnicity3,22,Somali,factor
race_ethnicity3,23,Other African (Black),factor
race_ethnicity3,24,Other Black,factor
race_ethnicity3,25,Middle Eastern,factor
race_ethnicity3,26,North African,factor
race_ethnicity3,27,Asian Indian,factor
race_ethnicity3,28,Cambodian,factor
race_ethnicity3,29,Chinese,factor
race_ethnicity3,30,Communities of Myanmar,factor
race_ethnicity3,31,Filipino/a,factor
race_ethnicity3,32,Hmong,factor
race_ethnicity3,33,Japanese,factor
race_ethnicity3,34,Korean,factor
race_ethnicity3,35,Laotian,factor
race_ethnicity3,36,South Asian,factor
race_ethnicity3,37,Vietnamese,factor
race_ethnicity3,38,Other Asian,factor
race_ethnicity3,39,Other,factor
race_ethnicity3,40,Client Unable to Answer,factor
race_ethnicity3,41,Client Declined to Answer,factor
race_ethnicity3,42,Did Not Ask,factor
idd_status,1,Yes,factor
idd_status,2,No,factor
idd_status,3,Unable to Determine,factor
military_status,Yes,"Yes, Veteran and not specified Branch of Service",factor
military_status,YVA,"Yes, Veteran and Current or Former Active Duty Military",factor
military_status,YVG,"Yes, Veteran and Current or Former Guard/Reserve Military",factor
military_status,NG,"No, but Current or Former Guard/Reserve Military",factor
military_status,No,No Service History,factor
military_status,1,Client Unable to Answer,factor
military_status,2,Client Declined to Answer,factor
military_status,3,Did Not Ask,factor
military_status,UNK,Unknown (do not use),factor
dhs_status,1,Yes,factor
dhs_status,2,No,factor
dhs_status,3,Client Unable to Answer,factor
dhs_status,4,Client Declined to Answer,factor
dhs_status,5,Did Not Ask,factor
living_situation,1,Transient/Homeless,factor
living_situation,2,Foster Home,factor
living_situation,3,Residential Facility,factor
living_situation,4,Jail,factor
living_situation,5,Prison,factor
living_situation,6,Room and Board,factor
living_situation,7,Supported Housing,factor
living_situation,8,Supportive Housing (scattered site),factor
living_situation,9,Supportive Housing (congregate site),factor
living_situation,10,Alcohol and Drug Free Housing,factor
living_situation,11,Oxford Home,factor
living_situation,12,Other Private Residence,factor
living_situation,13,Private Residence (at home),factor
living_situation,14,Private Residence (with relative),factor
living_situation,15,Private Residence (with non-relative),factor
living_situation,16,Residential Facility (SUD),factor
living_situation,17,Proctor/Private Foster Care Residential Facility (BRS),factor
living_situation,18,Residential Facility (CSEC),factor
living_situation,19,Residential Facility (PRTS),factor
living_situation,20,Residential Facility (SCIP/SAIP),factor
living_situation,21,Residential Facility (SRTF for YAT),factor
living_situation,22,Residential Facility (RTH for YAT),factor
living_situation,23,Secure Residential (SRTF Adult),factor
living_situation,24,Residential Sub-Acute Care Facility,factor
living_situation,25,Other DHS Setting,factor
living_situation,26,Assisted Living Facility,factor
living_situation,27,Client Unable to Answer,factor
living_situation,28,Client Declined to Answer,factor
living_situation,29,Did Not Ask,factor
living_situation,99,Not Listed,factor
primary_insurance,1,Private/Commercial,factor
primary_insurance,2,Oregon Medicare,factor
primary_insurance,3,Oregon Medicaid,factor
primary_insurance,4,Not Listed,factor
primary_insurance,5,Uninsured,factor
primary_insurance,6,Tribal Insurance/Indian Health Services,factor
primary_insurance,7,Tricare/VA,factor
primary_insurance,8,Other state Medicare/Medicaid,factor
primary_insurance,10,Client Unable to Answer,factor
primary_insurance,11,Client Declined to Answer,factor
primary_insurance,12,Did Not Ask,factor
primary_insurance,9,Unknown (do not use),factor
second_insurance,13,No Secondary Insurance,factor
second_insurance,1,Private/Commercial,factor
second_insurance,2,Oregon Medicare,factor
second_insurance,3,Oregon Medicaid,factor
second_insurance,6,Tribal Insurance/Indian Health Services,factor
second_insurance,7,Tricare/VA,factor
second_insurance,8,Other state Medicare/Medicaid,factor
second_insurance,4,Not Listed,factor
second_insurance,5,Uninsured,factor
second_insurance,10,Client Unable to Answer,factor
second_insurance,11,Client Declined to Answer,factor
second_insurance,12,Did Not Ask,factor
second_insurance,9,Unknown (do not use),factor
dispatch_requester,1,Identified Client,factor
dispatch_requester,2,Significant Other/Spouse of Identified Client,factor
dispatch_requester,3,Other Family of Identified Client,factor
dispatch_requester,4,Peer/Friend of Identified Client,factor
dispatch_requester,5,Bystander/Community Member,factor
dispatch_requester,6,988 Dispatcher,factor
dispatch_requester,7,911 Dispatcher,factor
dispatch_requester,8,Emergency Department or Hospital Personnel,factor
dispatch_requester,9,Law Enforcement Officer/Dispatch,factor
dispatch_requester,10,EMS Personnel/Dispatch,factor
dispatch_requester,11,Other,factor
dispatch_location,1,Private Residence,factor
dispatch_location,2,Community/Public Setting,factor
dispatch_location,3,Reservation,factor
dispatch_location,4,Outpatient Clinic,factor
dispatch_location,5,Emergency Department (ED),factor
dispatch_location,6,Medical Hospital,factor
dispatch_location,7,School,factor
dispatch_location,8,Jail,factor
dispatch_location,9,Other,factor
reason_for_dispatch1,1,Adult interpersonal conflict or violence (protected category),factor
reason_for_dispatch1,2,Adult interpersonal conflict or violence (not in protected category),factor
reason_for_dispatch1,3,Agitation or disruptive behavior,factor
reason_for_dispatch1,4,"Child abuse, neglect or exploitation",factor
reason_for_dispatch1,5,Concerns about treatment engagement,factor
reason_for_dispatch1,6,Difficulties Functioning,factor
reason_for_dispatch1,7,Disorganized behavior,factor
reason_for_dispatch1,8,Harm/Risk of harm to others,factor
reason_for_dispatch1,9,Harm/Risk of harm to self,factor
reason_for_dispatch1,10,Harm/Risk of harm to property,factor
reason_for_dispatch1,11,Peer difficulties,factor
reason_for_dispatch1,12,Paranoia,factor
reason_for_dispatch1,13,Running away,factor
reason_for_dispatch1,14,Needing social services,factor
reason_for_dispatch1,15,Seeking mental health services,factor
reason_for_dispatch1,16,Substance use,factor
reason_for_dispatch1,17,Suicidality or suicide attempt,factor
reason_for_dispatch1,18,Trauma,factor
reason_for_dispatch1,19,Other,factor
reason_for_dispatch2,1,Adult interpersonal conflict or violence (protected category),factor
reason_for_dispatch2,2,Adult interpersonal conflict or violence (not in protected category),factor
reason_for_dispatch2,3,Agitation or disruptive behavior,factor
reason_for_dispatch2,4,"Child abuse, neglect or exploitation",factor
reason_for_dispatch2,5,Concerns about treatment engagement,factor
reason_for_dispatch2,6,Difficulties Functioning,factor
reason_for_dispatch2,7,Disorganized behavior,factor
reason_for_dispatch2,8,Harm/Risk of harm to others,factor
reason_for_dispatch2,9,Harm/Risk of harm to self,factor
reason_for_dispatch2,10,Harm/Risk of harm to property,factor
reason_for_dispatch2,11,Peer difficulties,factor
reason_for_dispatch2,12,Paranoia,factor
reason_for_dispatch2,13,Running away,factor
reason_for_dispatch2,14,Needing social services,factor
reason_for_dispatch2,15,Seeking mental health services,factor
reason_for_dispatch2,16,Substance use,factor
reason_for_dispatch2,17,Suicidality or suicide attempt,factor
reason_for_dispatch2,18,Trauma,factor
reason_for_dispatch2,19,Other,factor
reason_for_dispatch3,1,Adult interpersonal conflict or violence (protected category),factor
reason_for_dispatch3,2,Adult interpersonal conflict or violence (not in protected category),factor
reason_for_dispatch3,3,Agitation or disruptive behavior,factor
reason_for_dispatch3,4,"Child abuse, neglect or exploitation",factor
reason_for_dispatch3,5,Concerns about treatment engagement,factor
reason_for_dispatch3,6,Difficulties Functioning,factor
reason_for_dispatch3,7,Disorganized behavior,factor
reason_for_dispatch3,8,Harm/Risk of harm to others,factor
reason_for_dispatch3,9,Harm/Risk of harm to self,factor
reason_for_dispatch3,10,Harm/Risk of harm to property,factor
reason_for_dispatch3,11,Peer difficulties,factor
reason_for_dispatch3,12,Paranoia,factor
reason_for_dispatch3,13,Running away,factor
reason_for_dispatch3,14,Needing social services,factor
reason_for_dispatch3,15,Seeking mental health services,factor
reason_for_dispatch3,16,Substance use,factor
reason_for_dispatch3,17,Suicidality or suicide attempt,factor
reason_for_dispatch3,18,Trauma,factor
reason_for_dispatch3,19,Other,factor
reason_for_dispatch4,1,Adult interpersonal conflict or violence (protected category),factor
reason_for_dispatch4,2,Adult interpersonal conflict or violence (not in protected category),factor
reason_for_dispatch4,3,Agitation or disruptive behavior,factor
reason_for_dispatch4,4,"Child abuse, neglect or exploitation",factor
reason_for_dispatch4,5,Concerns about treatment engagement,factor
reason_for_dispatch4,6,Difficulties Functioning,factor
reason_for_dispatch4,7,Disorganized behavior,factor
reason_for_dispatch4,8,Harm/Risk of harm to others,factor
reason_for_dispatch4,9,Harm/Risk of harm to self,factor
reason_for_dispatch4,10,Harm/Risk of harm to property,factor
reason_for_dispatch4,11,Peer difficulties,factor
reason_for_dispatch4,12,Paranoia,factor
reason_for_dispatch4,13,Running away,factor
reason_for_dispatch4,14,Needing social services,factor
reason_for_dispatch4,15,Seeking mental health services,factor
reason_for_dispatch4,16,Substance use,factor
reason_for_dispatch4,17,Suicidality or suicide attempt,factor
reason_for_dispatch4,18,Trauma,factor
reason_for_dispatch4,19,Other,factor
reason_for_dispatch5,1,Adult interpersonal conflict or violence (protected category),factor
reason_for_dispatch5,2,Adult interpersonal conflict or violence (not in protected category),factor
reason_for_dispatch5,3,Agitation or disruptive behavior,factor
reason_for_dispatch5,4,"Child abuse, neglect or exploitation",factor
reason_for_dispatch5,5,Concerns about treatment engagement,factor
reason_for_dispatch5,6,Difficulties Functioning,factor
reason_for_dispatch5,7,Disorganized behavior,factor
reason_for_dispatch5,8,Harm/Risk of harm to others,factor
reason_for_dispatch5,9,Harm/Risk of harm to self,factor
reason_for_dispatch5,10,Harm/Risk of harm to property,factor
reason_for_dispatch5,11,Peer difficulties,factor
reason_for_dispatch5,12,Paranoia,factor
reason_for_dispatch5,13,Running away,factor
reason_for_dispatch5,14,Needing social services,factor
reason_for_dispatch5,15,Seeking mental health services,factor
reason_for_dispatch5,16,Substance use,factor
reason_for_dispatch5,17,Suicidality or suicide attempt,factor
reason_for_dispatch5,18,Trauma,factor
reason_for_dispatch5,19,Other,factor
abuse_reported,1,Yes,factor
abuse_reported,0,No,factor
ems_scene,1,Yes,factor
ems_scene,2,No,factor
le_scene,1,Yes,factor
le_scene,2,No,factor
language_need_met,1,Yes,factor
language_need_met,2,No,factor
language_need_met,3,N/A,factor
custody,1,Director's Custody,factor
custody,2,Police Custody,factor
custody,3,No Custody Required,factor
custody,4,Hospital Hold,factor
disposition,1,Remained in the Community,factor
disposition,2,Arrest,factor
disposition,3,Emergency Department,factor
disposition,4,Crisis Walk-In Center,factor
disposition,5,Sobering or Detox Facility,factor
disposition,6,Respite,factor
disposition,7,Other,factor
disposition,8,Acute Care,factor
services_72hour,7,Yes,factor
services_72hour,1,Yes: within 72 hours,factor
services_72hour,2,Yes: after 72 hours,factor
services_72hour,3,No: hand off to another provider/system,factor
services_72hour,4,No: no follow up needed,factor
services_72hour,5,No: follow up declined/no engagement,factor
services_72hour,6,No: Other,factor
ref_stabilization_services,1,Yes,factor
ref_stabilization_services,2,No,factor
enr_stabilization_services,1,Yes,factor
enr_stabilization_services,2,No,factor
enr_stabilization_services,3,Unknown,factor
